slno,order_id,payment_sequential,payment_type,payment_installments,payment_value
1,CA-2016-152156,1,,8,-201.61
2,CA-2016-138688,1,,2,-121.69
3,US-2015-108966,1,,10,-243.58
4,CA-2014-115812,1,,6,-191.58
5,CA-2017-114412,1,,1,-108.19
6,CA-2016-161389,1,,5,-107.8
7,US-2015-118983,1,,7,-160
8,CA-2014-105893,1,,8,-464.05
9,CA-2014-167164,1,,2,-264.16
10,CA-2014-143336,1,,3,-143.58
11,CA-2016-137330,1,,4,-153.9
12,US-2017-156909,1,,8,-354.9
13,CA-2015-106320,1,,2,-118.3
14,CA-2016-121755,1,,7,-342.02
15,US-2015-150630,1,,8,-124.92
16,CA-2016-117590,1,,6,-163.52
17,CA-2015-117415,1,,8,-187.75
18,CA-2017-120999,1,,1,-123.52
19,CA-2016-101343,1,,10,-106.38
20,CA-2017-139619,1,,2,-119.4
21,CA-2016-118255,1,,5,-142.89
22,CA-2014-146703,1,,8,-144.56
23,CA-2016-169194,1,,2,-111.71
24,CA-2015-115742,1,,6,-358.29
25,CA-2016-105816,1,,2,-163.61
26,CA-2016-111682,1,,4,-171.61
27,CA-2015-135545,1,,6,-246.23
28,US-2015-164175,1,,3,-154.36
29,CA-2014-106376,1,,1,-127.43
30,CA-2016-119823,1,,3,-329.83
31,CA-2016-106075,1,,4,-116.94
32,CA-2017-114440,1,,1,-125.21
33,US-2015-134026,1,,1,-152.09
34,US-2017-118038,1,,4,-158.99
35,US-2014-147606,1,,3,-190.03
36,CA-2016-127208,1,,2,-122.97
37,CA-2014-139451,1,credit_card,8,-163.81
38,CA-2015-149734,1,credit_card,7,-335.47
39,US-2017-119662,1,credit_card,10,-164.1
40,CA-2017-140088,1,credit_card,8,-341.02
41,CA-2017-155558,1,credit_card,2,-160.77
42,CA-2016-159695,1,credit_card,3,-137.99
43,CA-2016-109806,1,credit_card,1,-186.55
44,CA-2015-149587,1,credit_card,2,-112.32
45,US-2017-109484,1,credit_card,1,-153.1
46,CA-2017-161018,1,credit_card,4,-158.86
47,CA-2017-157833,1,credit_card,3,-102.64
48,CA-2016-158568,1,credit_card,4,-171.29
49,CA-2016-129903,1,credit_card,1,-128.95
50,US-2015-156867,1,credit_card,5,-396.23
51,CA-2017-119004,1,credit_card,2,-108.59
52,CA-2015-129476,1,credit_card,5,-224.54
53,CA-2017-146780,1,credit_card,2,-125.18
54,CA-2015-110457,1,credit_card,8,-107.78
55,US-2015-136476,1,credit_card,12,-172.23
56,CA-2016-103730,1,credit_card,4,-211.91
57,US-2014-152030,1,credit_card,1,-308.38
58,US-2014-134614,1,credit_card,1,-119.6
59,US-2017-107272,1,credit_card,10,-149.76
60,US-2016-125969,1,credit_card,1,-144.78
61,US-2017-164147,1,credit_card,5,-107.29
62,CA-2016-110366,1,credit_card,6,-328.17
63,CA-2017-106180,1,credit_card,4,-119.82
64,CA-2017-155376,1,credit_card,4,-188
65,CA-2015-110744,1,credit_card,3,-161.86
66,CA-2014-110072,1,credit_card,2,-115
67,CA-2016-114489,1,credit_card,6,-119.64
68,CA-2016-158834,1,credit_card,4,-127.55
69,CA-2015-124919,1,credit_card,2,-144.72
70,CA-2015-118948,1,credit_card,2,-293.59
71,CA-2014-104269,1,credit_card,3,-140.16
72,CA-2016-114104,1,credit_card,10,-187.43
73,CA-2016-162733,1,credit_card,2,-101.25
74,CA-2015-119697,1,credit_card,1,-120.09
75,CA-2016-154508,1,credit_card,4,-121.63
76,CA-2016-113817,1,credit_card,2,-137.4
77,CA-2014-139892,1,credit_card,1,-111.61
78,US-2014-100853,1,credit_card,3,-155.45
79,US-2017-152366,1,credit_card,2,-188.89
80,US-2015-101511,1,credit_card,8,-340.32
81,CA-2015-137225,1,credit_card,8,-101.14
82,CA-2014-166191,1,voucher,1,-114.44
83,CA-2014-158274,1,credit_card,3,-140.52
84,CA-2016-105018,1,credit_card,5,-149.02
85,CA-2014-123260,1,credit_card,4,-144.65
86,CA-2016-157000,1,credit_card,1,-108.3
87,CA-2015-102281,1,credit_card,1,-167.73
88,CA-2015-131457,1,credit_card,2,-145.88
89,CA-2014-140004,1,credit_card,2,-138.84
90,CA-2017-107720,1,credit_card,1,-182.36
91,US-2017-124303,1,credit_card,2,-167.51
92,CA-2017-105074,1,credit_card,2,-198
93,US-2017-116701,1,credit_card,3,-102.87
94,CA-2017-126382,1,credit_card,5,-171.7
95,CA-2017-108329,1,credit_card,5,-234.7
96,CA-2017-135860,1,credit_card,3,-265.95
97,CA-2015-101007,1,credit_card,5,-233.04
98,CA-2015-146262,1,credit_card,3,-562.05
99,CA-2016-130162,1,credit_card,10,-191.58
100,CA-2015-169397,1,credit_card,5,-163.73
101,CA-2015-163055,1,credit_card,1,-119.57
102,US-2015-145436,1,credit_card,2,-139.69
103,US-2014-156216,1,credit_card,3,-141.5
104,US-2017-100930,1,credit_card,1,-108.56
105,CA-2017-160514,1,credit_card,2,-219.18
106,CA-2016-157749,1,credit_card,1,-104.63
107,CA-2016-154739,1,credit_card,4,-148.06
108,CA-2016-145625,1,credit_card,2,-153.26
109,CA-2016-146941,1,credit_card,1,-205.28
110,US-2015-159982,1,credit_card,1,-115.36
