order_id,customer_id,ship_mode,vendor_id,order_status,order_purchase_date,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date
CA-2014-100006,DK-13375,Standard Class,VEN04,delivered,6-19-18 5:33 PM,6-19-18 6:03 PM,6-20-18 10:46 AM,6-27-18 7:58 PM,25-07-2018
CA-2014-100090,EB-13705,Standard Class,VEN04,delivered,11-24-17 11:32 PM,11-25-17 2:32 AM,11-30-17 8:53 PM,12-5-17 6:04 PM,08-12-2017
CA-2014-100293,,Standard Class,VEN02,delivered,5-14-18 9:29 AM,5-14-18 9:54 AM,5-14-18 2:59 PM,5-23-18 9:06 PM,05-06-2018
CA-2014-100328,JC-15340,Standard Class,VEN02,delivered,4-9-18 4:47 PM,4-10-18 4:10 AM,4-10-18 10:27 PM,4-12-18 2:58 PM,19-04-2018
CA-2014-100363,JM-15655,Standard Class,VEN02,delivered,12-4-17 6:07 PM,12-6-17 2:50 AM,12-8-17 2:28 AM,12-18-17 11:44 PM,13-02-2018
CA-2014-100391,BW-11065,Standard Class,VEN05,delivered,2-18-17 10:39 AM,2-18-17 10:50 AM,3-7-17 3:19 PM,3-21-17 8:37 AM,21-03-2017
CA-2014-100678,KM-16720,Standard Class,VEN05,delivered,11-18-17 8:19 PM,11-18-17 8:30 PM,11-22-17 12:32 AM,11-27-17 8:15 PM,14-12-2017
CA-2014-100706,,Second Class,VEN01,delivered,11-9-17 1:00 PM,11-9-17 1:10 PM,11-14-17 4:23 PM,11-21-17 6:42 PM,29-11-2017
CA-2014-100762,NG-18355,Standard Class,VEN02,delivered,6-12-18 9:44 PM,6-12-18 10:21 PM,6-14-18 3:07 PM,6-26-18 9:34 PM,18-07-2018
CA-2014-100860,CS-12505,Second Class,VEN03,delivered,7-27-17 8:45 AM,7-27-17 9:42 AM,7-28-17 5:12 PM,8-3-17 6:33 PM,16-08-2017
CA-2014-100867,,Standard Class,VEN03,delivered,10-2-17 7:04 PM,10-4-17 3:03 AM,10-4-17 8:55 PM,10-26-17 1:58 AM,30-10-2017
CA-2014-100881,DR-12940,Standard Class,VEN04,delivered,2-15-18 11:09 PM,2-17-18 3:47 AM,2-19-18 7:12 PM,2-28-18 10:13 PM,12-03-2018
CA-2014-100895,SV-20785,Standard Class,VEN03,delivered,2-20-18 10:08 PM,2-20-18 10:27 PM,2-27-18 4:18 PM,2-28-18 4:39 PM,06-03-2018
CA-2014-100916,FH-14275,Standard Class,VEN05,delivered,4-19-17 11:03 PM,4-19-17 11:15 PM,4-20-17 5:36 PM,4-30-17 9:41 AM,09-05-2017
CA-2014-100972,DB-13360,Second Class,VEN04,delivered,2-15-18 11:27 PM,2-17-18 3:35 AM,2-19-18 11:53 PM,3-14-18 4:52 PM,20-03-2018
CA-2014-101147,,First Class,VEN02,delivered,12-16-17 10:28 PM,12-16-17 10:38 PM,12-19-17 8:32 PM,12-27-17 6:03 PM,18-01-2018
CA-2014-101175,DM-12955,Standard Class,VEN02,delivered,12-16-17 10:28 PM,12-16-17 10:38 PM,12-19-17 8:32 PM,12-27-17 6:03 PM,18-01-2018
CA-2014-101266,MM-17920,Second Class,VEN01,shipped,3-7-18 8:44 AM,3-7-18 8:55 AM,3-7-18 8:59 PM,,02-05-2018
CA-2014-101364,TW-21025,Standard Class,VEN03,delivered,8-10-18 11:48 AM,8-11-18 2:44 AM,8-15-18 1:54 PM,8-28-18 1:18 PM,29-08-2018
CA-2014-101392,AS-10630,Standard Class,VEN01,delivered,5-6-18 4:30 PM,5-7-18 9:13 AM,5-7-18 1:08 PM,5-15-18 5:32 PM,07-06-2018
CA-2014-101427,AY-10555,Standard Class,VEN03,delivered,6-13-17 11:12 AM,6-14-17 2:35 AM,6-14-17 3:38 PM,6-29-17 12:14 PM,06-07-2017
CA-2014-101462,,Standard Class,VEN05,delivered,7-6-18 9:38 PM,7-7-18 11:25 AM,7-10-18 12:18 PM,7-28-18 8:15 PM,10-08-2018
CA-2014-101476,SD-20485,First Class,VEN04,delivered,1-23-17 1:40 PM,1-25-17 2:50 AM,1-26-17 11:26 AM,1-30-17 8:42 AM,28-02-2017
CA-2014-101560,,Second Class,VEN04,delivered,2-12-18 12:39 PM,2-12-18 12:55 PM,2-15-18 1:28 AM,2-21-18 9:16 PM,08-03-2018
CA-2014-101602,,First Class,VEN05,delivered,5-17-17 9:10 PM,5-17-17 9:22 PM,5-19-17 10:42 AM,5-24-17 11:07 AM,08-06-2017
CA-2014-101770,KB-16240,Standard Class,VEN01,delivered,2-7-18 8:28 PM,2-7-18 8:49 PM,2-9-18 9:24 PM,3-7-18 3:33 AM,05-03-2018
CA-2014-101833,,Second Class,VEN05,delivered,2-13-18 5:00 PM,2-13-18 5:10 PM,2-15-18 3:13 PM,3-1-18 10:18 PM,06-03-2018
CA-2014-101931,TS-21370,First Class,VEN03,delivered,10-22-17 2:25 PM,10-22-17 2:49 PM,10-23-17 6:50 PM,10-27-17 9:23 PM,10-11-2017
CA-2014-102008,RA-19915,Standard Class,VEN05,delivered,6-4-18 12:43 PM,6-5-18 2:31 PM,6-14-18 12:46 PM,6-19-18 12:51 AM,20-07-2018
CA-2014-102085,JD-16015,Standard Class,VEN04,delivered,1-5-18 11:50 AM,1-6-18 2:08 AM,1-10-18 12:46 AM,1-20-18 12:23 AM,07-02-2018
CA-2014-102274,DH-13075,Standard Class,VEN02,shipped,7-11-17 9:06 PM,7-11-17 9:43 PM,7-18-17 12:42 PM,,02-08-2017
CA-2014-102295,EH-13990,Second Class,VEN02,delivered,10-23-17 8:15 PM,10-23-17 8:28 PM,10-24-17 6:59 PM,10-27-17 11:56 PM,13-11-2017
CA-2014-102330,AI-10855,Standard Class,VEN05,delivered,6-11-17 12:10 PM,6-11-17 1:05 PM,6-12-17 1:34 PM,6-19-17 4:59 PM,05-07-2017
CA-2014-102645,IM-15055,Standard Class,VEN03,delivered,3-5-18 1:48 PM,3-5-18 2:09 PM,3-5-18 11:47 PM,3-20-18 7:46 PM,26-03-2018
CA-2014-102652,AY-10555,Standard Class,VEN02,delivered,3-16-18 12:50 PM,3-17-18 2:50 AM,3-21-18 10:45 PM,3-23-18 1:26 AM,28-03-2018
CA-2014-102652,KH-16630,Standard Class,VEN02,delivered,3-16-18 12:50 PM,3-17-18 2:50 AM,3-21-18 10:45 PM,3-23-18 1:26 AM,28-03-2018
CA-2014-102652,AG-10270,Standard Class,VEN02,delivered,3-16-18 12:50 PM,3-17-18 2:50 AM,3-21-18 10:45 PM,3-23-18 1:26 AM,28-03-2018
CA-2014-102673,KH-16630,Standard Class,VEN01,delivered,6-24-18 2:58 PM,6-24-18 3:19 PM,6-26-18 2:24 PM,7-5-18 11:07 PM,19-07-2018
CA-2014-102869,LC-17140,Second Class,VEN04,delivered,10-10-17 2:03 PM,10-10-17 2:29 PM,10-10-17 8:52 PM,10-13-17 9:52 PM,27-10-2017
CA-2014-102988,GM-14695,Second Class,VEN05,delivered,7-18-17 3:49 PM,7-18-17 4:03 PM,7-20-17 1:13 PM,8-3-17 8:03 PM,11-08-2017
CA-2014-103058,AG-10270,First Class,VEN01,delivered,1-30-18 11:03 AM,1-30-18 11:15 AM,2-5-18 3:44 PM,2-21-18 5:53 PM,13-03-2018
CA-2014-103086,EB-14170,Second Class,VEN05,delivered,9-14-17 2:28 PM,9-14-17 2:37 PM,9-15-17 8:17 PM,9-20-17 8:32 PM,04-10-2017
CA-2014-103100,AB-10105,First Class,VEN02,delivered,8-15-18 9:38 AM,8-17-18 3:10 AM,8-17-18 3:40 PM,8-22-18 9:13 PM,12-09-2018
CA-2014-103191,VG-21805,Standard Class,VEN01,delivered,9-18-17 2:48 PM,9-19-17 6:07 PM,9-21-17 7:02 PM,10-2-17 7:17 PM,11-10-2017
CA-2014-103219,BF-11215,Standard Class,VEN04,delivered,1-9-18 5:03 PM,1-9-18 5:32 PM,1-10-18 10:43 PM,1-22-18 7:58 PM,23-02-2018
CA-2014-103219,BF-11215,Standard Class,VEN04,delivered,1-9-18 5:03 PM,1-9-18 5:32 PM,1-10-18 10:43 PM,1-22-18 7:58 PM,23-02-2018
CA-2014-103219,BF-11215,Standard Class,VEN04,delivered,1-9-18 5:03 PM,1-9-18 5:32 PM,1-10-18 10:43 PM,1-22-18 7:58 PM,23-02-2018
CA-2014-103310,GM-14680,Standard Class,VEN05,delivered,1-19-18 3:41 PM,1-19-18 3:56 PM,1-22-18 11:56 PM,1-30-18 2:37 PM,14-02-2018
CA-2014-103317,DM-13525,First Class,VEN01,delivered,8-6-18 8:44 AM,8-6-18 9:04 AM,8-7-18 4:11 PM,8-14-18 10:18 PM,21-08-2018
CA-2014-103331,KB-16315,Standard Class,VEN05,delivered,1-14-18 2:39 PM,1-14-18 2:51 PM,1-24-18 4:59 PM,1-30-18 2:19 PM,16-02-2018
CA-2014-103366,EH-13990,First Class,VEN02,delivered,4-4-18 6:42 PM,4-4-18 6:55 PM,4-7-18 1:12 AM,4-19-18 12:28 AM,25-04-2018
CA-2014-103373,BS-11755,Standard Class,VEN04,delivered,6-9-18 7:24 PM,6-9-18 7:38 PM,6-11-18 12:56 PM,6-18-18 3:50 PM,12-07-2018
CA-2014-103401,GR-14560,Standard Class,VEN01,delivered,3-26-17 4:45 PM,3-26-17 5:02 PM,4-5-17 4:54 PM,4-19-17 9:39 AM,05-05-2017
CA-2014-103429,LW-16825,First Class,VEN05,delivered,8-9-18 2:08 PM,8-10-18 3:15 AM,8-10-18 2:13 PM,8-21-18 5:32 PM,23-08-2018
CA-2014-103492,CM-12715,Standard Class,VEN02,delivered,8-21-18 6:47 PM,8-21-18 7:04 PM,8-22-18 1:44 PM,8-23-18 8:56 PM,27-08-2018
CA-2014-103527,CC-12220,Second Class,VEN01,delivered,11-23-17 6:41 PM,11-23-17 6:49 PM,11-25-17 3:12 PM,12-9-17 6:09 PM,18-12-2017
CA-2014-103527,CC-12220,Second Class,VEN01,delivered,11-23-17 6:41 PM,11-23-17 6:49 PM,11-25-17 3:12 PM,12-9-17 6:09 PM,18-12-2017
CA-2014-103527,CC-12220,Second Class,VEN01,delivered,11-23-17 6:41 PM,11-23-17 6:49 PM,11-25-17 3:12 PM,12-9-17 6:09 PM,18-12-2017
CA-2014-103590,KL-15505,Standard Class,VEN05,delivered,3-1-18 4:43 PM,3-1-18 4:55 PM,3-5-18 11:32 AM,3-17-18 10:08 AM,20-03-2018
CA-2014-103660,MW-18220,Standard Class,VEN03,delivered,4-20-18 11:04 AM,4-20-18 11:15 AM,4-23-18 5:28 PM,4-25-18 6:08 PM,10-05-2018
CA-2014-103702,AF-10885,Standard Class,VEN05,delivered,6-30-18 9:48 PM,7-1-18 9:50 PM,7-3-18 11:15 AM,7-12-18 3:28 PM,01-08-2018
CA-2014-103744,MG-17875,Standard Class,VEN05,delivered,3-6-18 2:58 PM,3-6-18 3:40 PM,3-7-18 8:05 PM,3-19-18 9:22 PM,27-03-2018
CA-2014-103800,DP-13000,Standard Class,VEN03,delivered,8-16-17 12:17 PM,8-16-17 12:55 PM,8-16-17 9:39 PM,8-24-17 9:20 PM,08-09-2017
CA-2014-103807,EM-13825,Standard Class,VEN01,delivered,3-8-18 4:33 PM,3-8-18 4:56 PM,3-14-18 12:58 AM,3-16-18 6:51 PM,10-04-2018
CA-2014-103849,PG-18895,Standard Class,VEN04,delivered,4-25-18 10:13 PM,4-25-18 10:31 PM,4-26-18 12:58 PM,5-3-18 6:40 PM,17-05-2018
CA-2014-103940,CN-11515,Standard Class,VEN02,delivered,8-21-18 9:15 PM,8-21-18 9:30 PM,8-22-18 10:16 AM,8-24-18 1:21 AM,24-08-2018
CA-2014-103989,MC-17605,First Class,VEN05,shipped,4-18-18 3:28 PM,4-18-18 3:53 PM,4-23-18 8:42 PM,,18-05-2018
CA-2014-104178,JM-15265,Standard Class,VEN03,delivered,1-16-18 9:46 PM,1-17-18 3:35 AM,1-19-18 8:42 PM,1-31-18 12:58 PM,14-02-2018
CA-2014-104269,DB-13060,Second Class,VEN03,delivered,4-20-17 9:42 PM,4-20-17 9:55 PM,4-24-17 12:53 PM,5-9-17 10:41 AM,17-05-2017
CA-2014-104283,LM-17065,Standard Class,VEN04,delivered,8-27-18 3:21 PM,8-27-18 3:35 PM,8-28-18 12:45 PM,8-29-18 9:41 PM,04-09-2018
CA-2014-104402,DB-13660,Standard Class,VEN02,delivered,1-22-18 4:19 PM,1-24-18 2:53 AM,1-24-18 6:09 PM,1-26-18 8:19 PM,06-02-2018
CA-2014-104472,CK-12325,Standard Class,VEN01,delivered,12-1-17 9:21 PM,12-1-17 9:33 PM,12-6-17 1:23 PM,12-19-17 7:43 PM,29-12-2017
CA-2014-104563,CM-12715,Standard Class,VEN05,delivered,1-29-18 9:49 AM,1-29-18 9:58 AM,1-30-18 6:05 PM,2-6-18 3:05 PM,22-02-2018
CA-2014-104738,SP-20620,Second Class,VEN03,delivered,11-26-17 9:56 PM,11-26-17 10:12 PM,11-29-17 12:32 PM,12-29-17 8:38 PM,19-12-2017
CA-2014-104773,TB-21175,Standard Class,VEN01,invoiced,8-6-18 11:23 PM,8-7-18 12:05 PM,,,23-08-2018
CA-2014-104780,BT-11530,Standard Class,VEN03,delivered,11-14-17 6:25 PM,11-14-17 6:35 PM,11-23-17 10:10 PM,12-8-17 12:18 AM,14-12-2017
CA-2014-104808,MH-17440,Second Class,VEN05,delivered,11-22-17 10:58 AM,11-22-17 11:07 AM,11-23-17 5:56 PM,12-8-17 10:43 PM,18-12-2017
CA-2014-104829,JG-15805,Second Class,VEN03,delivered,10-17-17 5:02 PM,10-17-17 5:46 PM,10-18-17 7:44 PM,10-23-17 8:54 PM,06-11-2017
CA-2014-104976,CK-12760,Standard Class,VEN04,delivered,3-22-18 9:28 AM,3-24-18 2:11 AM,3-26-18 9:08 PM,4-3-18 7:04 PM,20-04-2018
CA-2014-105165,SZ-20035,First Class,VEN02,delivered,10-8-17 3:06 PM,10-10-17 3:49 AM,10-13-17 7:33 PM,10-21-17 4:04 PM,03-11-2017
CA-2014-105172,PK-18910,Standard Class,VEN01,invoiced,5-26-17 3:26 PM,5-26-17 3:42 PM,,,19-06-2017
CA-2014-105249,DH-13675,Same Day,VEN01,delivered,3-23-17 10:45 PM,3-25-17 2:33 AM,3-28-17 12:28 PM,4-4-17 3:10 PM,12-04-2017
CA-2014-105270,AP-10915,Standard Class,VEN03,delivered,7-9-17 8:58 AM,7-10-17 9:05 AM,7-12-17 8:03 PM,7-21-17 12:44 PM,28-07-2017
CA-2014-105340,EH-14185,First Class,VEN04,delivered,5-15-17 10:48 PM,5-15-17 11:02 PM,5-19-17 1:22 PM,5-23-17 10:17 AM,13-06-2017
CA-2014-105417,VS-21820,Standard Class,VEN02,delivered,2-20-18 11:31 AM,2-20-18 11:47 AM,2-21-18 2:49 PM,3-12-18 8:52 PM,16-03-2018
CA-2014-105648,EJ-14155,Standard Class,VEN01,delivered,9-4-17 10:51 PM,9-4-17 11:03 PM,9-6-17 9:33 PM,9-21-17 5:28 PM,27-09-2017
CA-2014-105872,JG-15160,Standard Class,VEN01,delivered,7-18-18 10:34 PM,7-18-18 10:50 PM,7-20-18 12:11 PM,7-25-18 8:42 PM,08-08-2018
CA-2014-105893,PK-19075,Standard Class,VEN05,delivered,7-18-18 10:34 PM,7-18-18 10:50 PM,7-20-18 12:11 PM,7-25-18 8:42 PM,08-08-2018
CA-2014-105984,MY-18295,Same Day,VEN02,delivered,7-3-18 2:56 PM,7-5-18 4:21 PM,7-4-18 2:24 PM,7-9-18 7:24 PM,25-07-2018
CA-2014-106054,JO-15145,First Class,VEN03,delivered,6-5-18 6:22 PM,6-5-18 6:35 PM,6-12-18 8:16 AM,6-14-18 2:47 PM,29-06-2018
CA-2014-106229,NR-18550,Second Class,VEN02,delivered,9-1-17 4:11 PM,9-1-17 4:24 PM,9-15-17 6:02 PM,10-2-17 5:23 PM,26-09-2017
CA-2014-106264,CK-12595,Standard Class,VEN04,delivered,5-4-17 10:32 AM,5-4-17 10:42 AM,5-17-17 11:07 AM,5-23-17 10:51 PM,25-05-2017
CA-2014-106376,BS-11590,Standard Class,VEN05,delivered,5-16-18 10:55 AM,5-17-18 3:35 AM,5-22-18 12:37 PM,5-23-18 10:36 PM,25-05-2018
CA-2014-106439,GG-14650,Standard Class,VEN02,delivered,8-12-18 12:57 PM,8-12-18 1:05 PM,8-13-18 12:04 PM,8-14-18 7:11 PM,20-08-2018
