product_id,product_name,colors,category,sub_category,date_added,manufacturer,merchants,product_name,sizes,upc,weight,product_photos_qty
FUR-BO-10000330,"Sauder Camden County Barrister Bookcase, Planked Cherry Finish",Blue,Furniture,Bookcases,30-03-2016,,,Bush Somerset Collection Bookcase,,,,3
FUR-BO-10000362,Sauder Inglewood Library Bookcases,Blue,Furniture,Bookcases,17-08-2015,2(x)ist,"[{""dateSeen"":[""2015-08-12T00:00:00Z""],""name"":""Amazon.ca""}]","Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",,,,6
FUR-BO-10000468,O'Sullivan 2-Shelf Heavy-Duty Bookcases,Black,Furniture,Bookcases,15-01-2016,,,Bretford CR4500 Series Slim Rectangular Table,22,,,4
FUR-BO-10000711,"Hon Metal Bookcases, Gray",Blue,Furniture,Bookcases,23-08-2016,,"[{""dateSeen"":[""2016-08-21T00:00:00Z""],""name"":""Shop4shades - Ebay.com""}]","Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",,,,2
FUR-BO-10000780,O'Sullivan Plantations 2-Door Library in Landvery Oak,Pink,Furniture,Bookcases,14-01-2016,,,Chromcraft Rectangular Conference Tables,,,,0
FUR-BO-10001337,O'Sullivan Living Dimensions 2-Shelf Bookcases,Blue,Furniture,Bookcases,22-03-2016,,,Bretford CR4500 Series Slim Rectangular Table,,,,4
FUR-BO-10001519,O'Sullivan 3-Shelf Heavy-Duty Bookcases,Blue,Furniture,Bookcases,24-09-2016,BCBG Max Azria,"[{""dateSeen"":[""2016-09-24T22:58:36Z""],""name"":""Apparelsave""}]","Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",,7.26E+11,,0
FUR-BO-10001601,"Sauder Mission Library with Doors, Fruitwood Finish",Blue,Furniture,Bookcases,07-03-2016,,"[{""dateSeen"":[""2016-05-07T00:00:00Z""],""name"":""Anotherpairanotherpair - Ebay.com""}]","Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",10.5,7.00E+11,,5
FUR-BO-10001608,"Hon Metal Bookcases, Black",Pink,Furniture,Bookcases,25-04-2016,,"[{""dateSeen"":[""2016-04-23T00:00:00Z""],""name"":""Newnewgirl-happylife - Ebay.com""}]","Electrix Architect's Clamp-On Swing Arm Lamp, Black",,7.95E+11,,3
FUR-BO-10001619,O'Sullivan Cherrywood Estates Traditional Bookcase,Blue,Furniture,Bookcases,21-03-2016,,,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",,,,0
FUR-BO-10001798,Bush Somerset Collection Bookcase,Pink,Furniture,Bookcases,01-04-2016,,"[{""dateSeen"":[""2016-04-01T00:00:00Z""],""name"":""Simonjessie2008 - Ebay.com""}]",Novimex Turbo Task Chair,9,6.40E+11,,4
FUR-BO-10001811,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",Blue,Furniture,Bookcases,27-09-2016,,"[{""dateSeen"":[""2016-09-26T00:00:00Z""],""name"":""Topbranditemstopbranditems - Ebay.com""}]",Luxo Economy Swing Arm Lamp,7.5,8.89E+11,,2
FUR-BO-10001918,"Sauder Forest Hills Library with Doors, Woodland Oak Finish",Pink,Furniture,Bookcases,09-11-2015,,"[{""dateSeen"":[""2015-11-09T13:09:33Z""],""name"":""Miles Kimball Company""}]","Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",,8.41E+11,,2
