id,order_id,product_id,product_name,sales_amt,qty,discount,profit_amt
2698,CA-2014-145317,FUR-BO-10001798,Bush Somerset Collection Bookcase,261.96,2,0,41.9136
6827,CA-2016-118689,FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3,0,219.582
8154,CA-2017-140151,OFF-LA-10000240,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2,0,6.8714
2624,CA-2017-127180,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,957.5775,5,0.45,-383.031
4191,CA-2017-166709,OFF-ST-10000760,Eldon Fold 'N Roll Cart System,22.368,2,0.2,2.5164
9040,CA-2016-117121,FUR-FU-10001487,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7,0,14.1694
4099,CA-2014-116904,OFF-AR-10002833,Newell 322,7.28,4,0,1.9656
4278,US-2016-107440,TEC-PH-10002275,Mitel 5320 IP Phone VoIP phone,907.152,6,0.2,90.7152
8489,CA-2016-158841,OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,18.504,3,0.2,5.7825
6426,CA-2016-143714,OFF-AP-10002892,Belkin F5C206VTEL 6 Outlet Surge,114.9,5,0,34.47
2506,CA-2014-143917,FUR-TA-10001539,Chromcraft Rectangular Conference Tables,1706.184,9,0.2,85.3092
166,CA-2014-139892,TEC-PH-10002033,Konftel 250 Conference phone - Charcoal black,911.424,4,0.2,68.3568
684,US-2017-168116,OFF-PA-10002365,Xerox 1967,15.552,3,0.2,5.4432
6627,CA-2014-145541,OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,407.976,3,0.2,132.5922
510,CA-2015-145352,OFF-AP-10002311,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,5,0.8,-123.858
6521,CA-2017-138289,OFF-BI-10000756,Storex DuraTech Recycled Plastic Frosted Binders,2.544,3,0.8,-3.816
7667,US-2016-140158,OFF-ST-10004186,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,6,0,13.3176
6341,CA-2017-143112,OFF-ST-10000107,Fellowes Super Stor/Drawer,55.5,2,0,9.99
8859,CA-2017-135909,OFF-AR-10003056,Newell 341,8.56,2,0,2.4824
5885,CA-2016-136301,TEC-PH-10001949,Cisco SPA 501G IP Phone,213.48,3,0.2,16.011
8991,US-2015-128587,OFF-BI-10002215,"Wilson Jones Hanging View Binder, White, 1""",22.72,4,0.2,7.384
1086,US-2016-143819,OFF-AR-10000246,Newell 318,19.46,7,0,5.0596
4219,CA-2017-149881,OFF-AP-10001492,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7,0,15.6884
1804,CA-2017-158379,FUR-CH-10002774,"Global Deluxe Stacking Chair, Gray",71.372,2,0.3,-1.0196
8205,CA-2015-114811,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,1044.63,3,0,240.2649
2493,CA-2014-144624,OFF-BI-10001634,Wilson Jones Active Use Binders,11.648,2,0.2,4.2224
7819,CA-2016-138478,TEC-AC-10003027,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,3,0,11.7741
7773,CA-2016-108196,FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7,0.5,-1665.0522
9166,CA-2016-100300,OFF-BI-10000474,Avery Recycled Flexi-View Covers for Binding Systems,9.618,2,0.7,-7.0532
7244,CA-2017-118892,FUR-FU-10004848,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,3,0.2,15.525
9742,CA-2015-117086,OFF-EN-10001509,Poly String Tie Envelopes,3.264,2,0.2,1.1016
4298,CA-2017-129021,OFF-AR-10004042,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,6,0.2,9.7092
354,CA-2016-129714,OFF-BI-10001525,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858,6,0.7,-5.715
9271,US-2017-102183,OFF-AR-10001683,Lumber Crayons,15.76,2,0.2,3.546
9640,CA-2015-116638,OFF-PA-10000249,Easy-staple paper,29.472,3,0.2,9.9468
5918,US-2015-126977,TEC-PH-10004977,GE 30524EE4,1097.544,7,0.2,123.4737
3281,CA-2014-102988,FUR-FU-10003664,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5,0.6,-147.963
6621,US-2017-167402,OFF-EN-10002986,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,9,0.2,35.415
6015,CA-2016-159016,FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,3,0.32,-46.9764
6536,CA-2014-128209,FUR-CH-10004218,"Global Fabric Manager's Chair, Dark Gray",212.058,3,0.3,-15.147
2183,CA-2016-128818,TEC-PH-10000486,Plantronics HL10 Handset Lifter,371.168,4,0.2,41.7564
319,CA-2014-164973,TEC-PH-10004093,Panasonic Kx-TS550,147.168,4,0.2,16.5564
5199,CA-2016-103982,OFF-ST-10003479,"Eldon Base for stackable storage shelf, platinum",77.88,2,0,3.894
7684,CA-2015-120782,OFF-ST-10003282,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,2,0.2,9.5616
9426,CA-2014-116246,TEC-AC-10000171,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2,0,19.7714
1247,CA-2014-168494,OFF-BI-10003291,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2,0,8.2062
5171,CA-2016-122903,OFF-ST-10001713,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4,0,8.4784
7584,CA-2014-163223,TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45,3,0,4.95
9650,CA-2016-107104,TEC-PH-10003988,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,2,0,6.104
7915,CA-2017-165323,OFF-BI-10004410,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,6,0,17.9634
9858,CA-2015-164301,OFF-LA-10002762,Avery 485,75.18,6,0,35.3346
3274,CA-2017-133865,FUR-FU-10001706,Longer-Life Soft White Bulbs,6.16,2,0,2.9568
8101,CA-2016-169663,FUR-CH-10003061,"Global Leather Task Chair, Black",89.99,1,0,17.0981
